DrawingNumbers,Powerball,Result,Jackpot,Weekday,Date
"[18, 27, 32, 38, 42]",20,0,23614872,Tuesday,2009-12-29
"[2, 14, 27, 39, 42]",10,0,20897631,Tuesday,2009-12-22
"[5, 8, 11, 28, 34]",15,0,18512668,Friday,2009-12-18
"[7, 29, 31, 32, 39]",13,0,16224029,Tuesday,2009-12-15
"[10, 20, 22, 23, 35]",17,0,13831581,Friday,2009-12-11
"[13, 16, 37, 39, 42]",7,0,11593243,Tuesday,2009-12-08
"[17, 23, 27, 38, 43]",4,0,9363139,Friday,2009-12-04
"[5, 8, 25, 41, 45]",13,0,7022907,Tuesday,2009-12-01
"[12, 18, 31, 37, 45]",16,0,4541137,Friday,2009-11-27
"[1, 18, 19, 32, 42]",9,0,2107658,Tuesday,2009-11-24
"[12, 16, 28, 42, 44]",4,1,6950136,Friday,2009-11-20
"[1, 9, 23, 41, 43]",3,0,4760127,Tuesday,2009-11-17
"[32, 35, 38, 39, 43]",19,0,2497381,Friday,2009-11-13
"[12, 20, 22, 28, 33]",14,1,7147812,Tuesday,2009-11-10
"[10, 17, 23, 31, 42]",19,0,4749759,Friday,2009-11-06
"[18, 24, 27, 36, 40]",11,0,2268385,Tuesday,2009-11-03
"[11, 14, 16, 30, 31]",8,1,12483280,Friday,2009-10-30
"[5, 15, 17, 31, 37]",3,0,10000000,Tuesday,2009-10-27
"[12, 15, 20, 36, 38]",6,1,30000000,Friday,2009-10-23
"[3, 21, 23, 32, 35]",7,0,2706808,Friday,2010-12-31
"[5, 6, 7, 9, 17]",11,1,27461634,Tuesday,2010-12-28
"[26, 30, 31, 33, 40]",3,0,24791362,Friday,2010-12-24
"[19, 25, 31, 39, 40]",14,0,21544895,Tuesday,2010-12-21
"[1, 7, 8, 17, 30]",17,0,18364481,Friday,2010-12-17
"[12, 30, 31, 32, 35]",4,0,15257821,Tuesday,2010-12-14
"[6, 13, 18, 24, 41]",7,0,12346450,Friday,2010-12-10
"[12, 28, 30, 44, 45]",9,0,9297740,Tuesday,2010-12-07
"[19, 24, 37, 43, 45]",10,0,6357543,Friday,2010-12-03
"[3, 6, 11, 12, 25]",9,0,3117562,Tuesday,2010-11-30
"[12, 17, 22, 25, 34]",19,1,3352789,Friday,2010-11-26
"[2, 9, 10, 33, 43]",6,1,42656872,Tuesday,2010-11-23
"[1, 17, 19, 26, 32]",4,0,38859683,Friday,2010-11-19
"[4, 28, 32, 38, 40]",2,0,34750340,Tuesday,2010-11-16
"[4, 8, 11, 16, 40]",17,0,31003973,Friday,2010-11-12
"[6, 22, 29, 35, 45]",8,0,26886805,Tuesday,2010-11-09
"[1, 4, 25, 26, 32]",10,0,23079189,Friday,2010-11-05
"[12, 13, 21, 22, 29]",9,0,19492100,Tuesday,2010-11-02
"[10, 31, 32, 39, 45]",10,0,16116518,Friday,2010-10-29
"[13, 28, 32, 35, 36]",8,0,12482772,Tuesday,2010-10-26
"[10, 15, 16, 22, 36]",1,0,9274905,Friday,2010-10-22
"[9, 11, 17, 35, 38]",16,0,6156748,Tuesday,2010-10-19
"[4, 14, 26, 34, 44]",12,0,3262703,Friday,2010-10-15
"[1, 17, 18, 19, 44]",14,1,64547102,Tuesday,2010-10-12
"[3, 7, 16, 21, 40]",3,0,59062479,Friday,2010-10-08
"[3, 15, 25, 32, 38]",4,0,52764996,Tuesday,2010-10-05
"[16, 22, 28, 30, 31]",20,0,47692754,Friday,2010-10-01
"[1, 3, 4, 5, 40]",15,0,42377052,Tuesday,2010-09-28
"[1, 5, 10, 16, 19]",8,0,37740536,Friday,2010-09-24
"[31, 33, 36, 40, 42]",13,0,33930735,Tuesday,2010-09-21
"[2, 19, 28, 42, 44]",5,0,30152355,Friday,2010-09-17
"[3, 23, 29, 33, 40]",2,0,25924666,Tuesday,2010-09-14
"[1, 17, 19, 33, 38]",1,0,22347777,Friday,2010-09-10
"[3, 25, 37, 42, 44]",10,0,18393816,Tuesday,2010-09-07
"[12, 17, 37, 41, 43]",8,0,15364634,Friday,2010-09-03
"[12, 27, 37, 41, 44]",20,0,12042106,Tuesday,2010-08-31
"[7, 8, 26, 36, 42]",20,0,8862943,Friday,2010-08-27
"[6, 23, 27, 33, 44]",16,0,5601290,Tuesday,2010-08-24
